# ----------------------------- WARNNG --------------------------------
# The data you have obtained from this automated U.S. Geological Survey
# database have not received Director's approval and as such are
# provisional and subject to revision.  The data are released on the
# condition that neither the USGS nor the United States Government may
# be held liable for any damages resulting from its use.
#
# Additional information can be obtained from the USGS at
#   http://waterdata.usgs.gov/nwis/help/?provisional
#
# retrieved: 2006-06-04 23:40:13 EDT
#
# This file consists of tab-separated columns of data for a list of sites.
# Each site is separated by a header section of comments and new column
# definitions. All column headers include the following 3 fields.
#
# column        column definition
# ------------  -----------------------------------------
# agency_cd     Agency collection or maintaining the site
# site_no       USGS site identification number
# datetime      date and time in ISO format (YYYY-mm-dd)
#
# The remaining columns vary for each site depending on which data
# parameters are selected.  The data column names use the following form
# '##_#####' where the first two number sequence uniquely defines the
# sensor (the 'data descriptor') used to collect the data and the
# following 5 number sequence defines the 'parameter_cd' which describes
# the type of data shown in the column.
#
# Data for the following stations is contained in this file
# ---------------------------------------------------------
#  USGS 01100000 MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA
#
# Available data at this site--lines with asterix '*' are included in this output.
#    DD parameter statistic - Description
#    --   -----     -----     ------------------------------------
#   *02   00060     00003   - Discharge, cubic feet per second (Mean)
#
# Data-value qualifiers included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
#agency_cd	site_no	datetime	02_00060_00003
#5s	15s	16s	14s
USGS	01100000	1924-05-20	13500_A
USGS	01100000	1924-05-21	11900_A
USGS	01100000	1924-05-22	10900_A
USGS	01100000	1924-05-23	10300_A
USGS	01100000	1924-05-24	10000_A
USGS	01100000	1924-05-25	9100_A
USGS	01100000	1924-05-26	10000_A
USGS	01100000	1924-05-27	9400_A
USGS	01100000	1924-05-28	9100_A
USGS	01100000	1924-05-29	8800_A
USGS	01100000	1924-05-30	9100_A
USGS	01100000	1924-05-31	7930_A
USGS	01100000	1924-06-01	7080_A
USGS	01100000	1924-06-02	7080_A
USGS	01100000	1924-06-03	6410_A
USGS	01100000	1924-06-04	5900_A
USGS	01100000	1924-06-05	5770_A
USGS	01100000	1924-06-06	5400_A
USGS	01100000	1924-06-07	5040_A
USGS	01100000	1924-06-08	4240_A
USGS	01100000	1924-06-09	4020_A
USGS	01100000	1924-06-10	4130_A
USGS	01100000	1924-06-11	4020_A
USGS	01100000	1924-06-12	4240_A
USGS	01100000	1924-06-13	4020_A
USGS	01100000	1924-06-14	3600_A
USGS	01100000	1924-06-15	2980_A
USGS	01100000	1924-06-16	3380_A
USGS	01100000	1924-06-17	3380_A
USGS	01100000	1924-06-18	3280_A
USGS	01100000	1924-06-19	3380_A
USGS	01100000	1924-06-20	3700_A
USGS	01100000	1924-06-21	3600_A
USGS	01100000	1924-06-22	2510_A
USGS	01100000	1924-06-23	3380_A
USGS	01100000	1924-06-24	3080_A
USGS	01100000	1924-06-25	3280_A
USGS	01100000	1924-06-26	2510_A
USGS	01100000	1924-06-27	2980_A
USGS	01100000	1924-06-28	2780_A
USGS	01100000	1924-06-29	2180_A
USGS	01100000	1924-06-30	3180_A
USGS	01100000	1924-07-01	3180_A
USGS	01100000	1924-07-02	2690_A
USGS	01100000	1924-07-03	2600_A
USGS	01100000	1924-07-04	895_A
USGS	01100000	1924-07-05	1760_A
USGS	01100000	1924-07-06	1580_A
USGS	01100000	1924-07-07	2600_A
USGS	01100000	1924-07-08	2780_A
USGS	01100000	1924-07-09	2690_A
USGS	01100000	1924-07-10	2340_A
USGS	01100000	1924-07-11	2180_A
USGS	01100000	1924-07-12	845_A
USGS	01100000	1924-07-13	1080_A
USGS	01100000	1924-07-14	2690_A
USGS	01100000	1924-07-15	2600_A
USGS	01100000	1924-07-16	2340_A
USGS	01100000	1924-07-17	1960_A
USGS	01100000	1924-07-18	1640_A
USGS	01100000	1924-07-19	1890_A
USGS	01100000	1924-07-20	1960_A
USGS	01100000	1924-07-21	2880_A
USGS	01100000	1924-07-22	2780_A
USGS	01100000	1924-07-23	2260_A
USGS	01100000	1924-07-24	1960_A
USGS	01100000	1924-07-25	2340_A
USGS	01100000	1924-07-26	1140_A
USGS	01100000	1924-07-27	364_A
