Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	FRODO		User Waypoint	N42 49.271 W70 48.804	29 ft				Symbol & Name	Unknown	Contact, Biker							
Waypoint	GANDALF		User Waypoint	N42 48.929 W70 47.413	0.4 ft				Symbol & Name	Unknown	Contact, Ranger							
Waypoint	GIMLI		User Waypoint	N42 48.710 W70 48.192	0.4 ft				Symbol & Name	Unknown	Contact, Goatee							
Waypoint	LEGOLAS		User Waypoint	N42 48.328 W70 48.374	0.4 ft				Symbol & Name	Unknown	Contact, Alien							
Waypoint	PIPPIN		User Waypoint	N41 35.694 W70 54.600	45 ft				Symbol & Name	Unknown	Contact, Pirate							
Waypoint	SAMWISE		User Waypoint	N42 48.338 W70 48.309	0.4 ft				Symbol & Name	Unknown	Contact, Ball Cap							
Waypoint	STRIDER		User Waypoint	N42 48.788 W70 47.606	0.4 ft				Symbol & Name	Unknown	Contact, Spike							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/21/2006 6:58:05 AM 	00:23:31	1.08 mi	2.8 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 49.150 W70 49.878	5/21/2006 7:29:44 AM 	-46.9 ft		132 ft	00:00:15	6.0 mph	87° true
Trackpoint	N42 49.149 W70 49.849	5/21/2006 7:29:59 AM 	-59.5 ft		132 ft	00:00:15	6.0 mph	93° true
Trackpoint	N42 49.149 W70 49.818	5/21/2006 7:30:14 AM 	-56.3 ft		138 ft	00:00:15	6.3 mph	90° true
Trackpoint	N42 49.145 W70 49.789	5/21/2006 7:30:29 AM 	-80.0 ft		129 ft	00:00:15	5.8 mph	101° true
Trackpoint	N42 49.143 W70 49.760	5/21/2006 7:30:44 AM 	-91.0 ft		133 ft	00:00:15	6.1 mph	97° true
Trackpoint	N42 49.140 W70 49.728	5/21/2006 7:30:59 AM 	-94.2 ft		145 ft	00:00:15	6.6 mph	96° true
Trackpoint	N42 49.139 W70 49.692	5/21/2006 7:31:14 AM 	-65.8 ft		161 ft	00:00:15	7.3 mph	93° true
Trackpoint	N42 49.136 W70 49.657	5/21/2006 7:31:29 AM 	-51.6 ft		156 ft	00:00:15	7.1 mph	96° true
Trackpoint	N42 49.135 W70 49.621	5/21/2006 7:31:44 AM 	-34.2 ft		161 ft	00:00:15	7.3 mph	93° true
Trackpoint	N42 49.135 W70 49.585	5/21/2006 7:31:59 AM 	-21.6 ft		161 ft	00:00:15	7.3 mph	90° true
Trackpoint	N42 49.135 W70 49.549	5/21/2006 7:32:14 AM 	-13.7 ft		161 ft	00:00:15	7.3 mph	90° true
Trackpoint	N42 49.135 W70 49.515	5/21/2006 7:32:29 AM 	-21.6 ft		149 ft	00:00:15	6.8 mph	90° true
Trackpoint	N42 49.135 W70 49.480	5/21/2006 7:32:44 AM 	-29.5 ft		155 ft	00:00:15	7.1 mph	90° true
Trackpoint	N42 49.135 W70 49.446	5/21/2006 7:32:59 AM 	-40.6 ft		155 ft	00:00:15	7.1 mph	90° true
Trackpoint	N42 49.132 W70 49.412	5/21/2006 7:33:14 AM 	-59.5 ft		150 ft	00:00:15	6.8 mph	96° true
Trackpoint	N42 49.132 W70 49.379	5/21/2006 7:33:29 AM 	-64.2 ft		149 ft	00:00:15	6.8 mph	90° true
Trackpoint	N42 49.134 W70 49.344	5/21/2006 7:33:44 AM 	-56.3 ft		155 ft	00:00:15	7.1 mph	87° true
Trackpoint	N42 49.135 W70 49.310	5/21/2006 7:33:59 AM 	-51.6 ft		150 ft	00:00:15	6.8 mph	87° true
Trackpoint	N42 49.136 W70 49.274	5/21/2006 7:34:14 AM 	-56.3 ft		161 ft	00:00:15	7.3 mph	87° true
Trackpoint	N42 49.136 W70 49.240	5/21/2006 7:34:29 AM 	-81.6 ft		155 ft	00:00:15	7.1 mph	90° true
Trackpoint	N42 49.144 W70 49.206	5/21/2006 7:34:44 AM 	-73.7 ft		157 ft	00:00:15	7.1 mph	73° true
Trackpoint	N42 49.159 W70 49.174	5/21/2006 7:34:59 AM 	-53.2 ft		172 ft	00:00:15	7.8 mph	57° true
Trackpoint	N42 49.171 W70 49.141	5/21/2006 7:35:14 AM 	-48.4 ft		165 ft	00:00:15	7.5 mph	65° true
Trackpoint	N42 49.180 W70 49.106	5/21/2006 7:35:29 AM 	-48.4 ft		165 ft	00:00:15	7.5 mph	71° true
Trackpoint	N42 49.193 W70 49.072	5/21/2006 7:35:44 AM 	-42.1 ft		169 ft	00:00:15	7.7 mph	62° true
Trackpoint	N42 49.202 W70 49.036	5/21/2006 7:35:59 AM 	-42.1 ft		170 ft	00:00:15	7.7 mph	71° true
Trackpoint	N42 49.206 W70 48.999	5/21/2006 7:36:14 AM 	-56.3 ft		168 ft	00:00:15	7.7 mph	82° true
Trackpoint	N42 49.207 W70 48.960	5/21/2006 7:36:29 AM 	-84.7 ft		173 ft	00:00:15	7.8 mph	87° true
Trackpoint	N42 49.208 W70 48.920	5/21/2006 7:36:44 AM 	-100.5 ft		178 ft	00:00:15	8.1 mph	87° true
Trackpoint	N42 49.217 W70 48.882	5/21/2006 7:36:59 AM 	-95.7 ft		181 ft	00:00:15	8.2 mph	72° true
Trackpoint	N42 49.225 W70 48.844	5/21/2006 7:37:14 AM 	-97.3 ft		173 ft	00:00:15	7.9 mph	74° true
Trackpoint	N42 49.238 W70 48.810	5/21/2006 7:37:29 AM 	-109.9 ft		174 ft	00:00:15	7.9 mph	63° true
Trackpoint	N42 49.246 W70 48.774	5/21/2006 7:37:44 AM 	-100.5 ft		168 ft	00:00:15	7.6 mph	74° true
Trackpoint	N42 49.239 W70 48.736	5/21/2006 7:37:59 AM 	-78.4 ft		171 ft	00:00:15	7.8 mph	103° true
Trackpoint	N42 49.230 W70 48.701	5/21/2006 7:38:14 AM 	-37.4 ft		165 ft	00:00:15	7.5 mph	109° true
Trackpoint	N42 49.218 W70 48.668	5/21/2006 7:38:29 AM 	19 ft		165 ft	00:00:15	7.5 mph	115° true
Trackpoint	N42 49.203 W70 48.632	5/21/2006 7:38:44 AM 	23 ft		186 ft	00:00:15	8.5 mph	120° true
Trackpoint	N42 49.188 W70 48.597	5/21/2006 7:38:59 AM 	24 ft		181 ft	00:00:15	8.2 mph	121° true
Trackpoint	N42 49.171 W70 48.569	5/21/2006 7:39:14 AM 	11 ft		162 ft	00:00:15	7.4 mph	129° true
Trackpoint	N42 49.153 W70 48.537	5/21/2006 7:39:29 AM 	21 ft		181 ft	00:00:15	8.2 mph	127° true
Trackpoint	N42 49.137 W70 48.502	5/21/2006 7:39:44 AM 	-10.6 ft		181 ft	00:00:15	8.2 mph	121° true
Trackpoint	N42 49.125 W70 48.461	5/21/2006 7:39:59 AM 	-15.3 ft		200 ft	00:00:15	9.1 mph	113° true
Trackpoint	N42 49.112 W70 48.420	5/21/2006 7:40:14 AM 	-9.0 ft		200 ft	00:00:15	9.1 mph	113° true
Trackpoint	N42 49.100 W70 48.380	5/21/2006 7:40:29 AM 	-24.8 ft		192 ft	00:00:15	8.7 mph	112° true
Trackpoint	N42 49.088 W70 48.338	5/21/2006 7:40:44 AM 	-21.6 ft		197 ft	00:00:15	9.0 mph	111° true
Trackpoint	N42 49.079 W70 48.299	5/21/2006 7:40:59 AM 	-23.2 ft		186 ft	00:00:15	8.5 mph	107° true
Trackpoint	N42 49.073 W70 48.261	5/21/2006 7:41:14 AM 	-75.2 ft		171 ft	00:00:15	7.8 mph	103° true
Trackpoint	N42 49.061 W70 48.221	5/21/2006 7:41:29 AM 	-54.7 ft		192 ft	00:00:15	8.7 mph	112° true
Trackpoint	N42 49.050 W70 48.181	5/21/2006 7:41:44 AM 	-43.7 ft		192 ft	00:00:15	8.7 mph	112° true
Trackpoint	N42 49.042 W70 48.148	5/21/2006 7:41:59 AM 	-42.1 ft		157 ft	00:00:15	7.1 mph	107° true
Trackpoint	N42 49.038 W70 48.114	5/21/2006 7:42:14 AM 	-40.6 ft		151 ft	00:00:15	6.9 mph	99° true
Trackpoint	N42 49.036 W70 48.077	5/21/2006 7:42:29 AM 	-39.0 ft		167 ft	00:00:15	7.6 mph	95° true
Trackpoint	N42 49.042 W70 48.037	5/21/2006 7:42:44 AM 	-31.1 ft		182 ft	00:00:15	8.3 mph	78° true
Trackpoint	N42 49.042 W70 47.996	5/21/2006 7:42:59 AM 	-24.8 ft		184 ft	00:00:15	8.4 mph	90° true
Trackpoint	N42 49.050 W70 47.956	5/21/2006 7:43:14 AM 	-20.0 ft		184 ft	00:00:15	8.4 mph	75° true
Trackpoint	N42 49.050 W70 47.919	5/21/2006 7:43:29 AM 	-27.9 ft		167 ft	00:00:15	7.6 mph	90° true
Trackpoint	N42 49.050 W70 47.880	5/21/2006 7:43:44 AM 	-34.2 ft		172 ft	00:00:15	7.8 mph	90° true
